"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"0","50.68435478655664","49.49862165464628","0.0159912109375","0.025634765625","0.00634765625","1560","0.0019858866906167535","24","0.0019858866906167535","0","0.0019858866906167535","0.0019858866906167535","1:68","1:0.021382465648034754","1:0.00825409412362138","0.0159912109375","Yes"
"1","197.95189626065326","197.22093211494976","0.032470703125","0.03515625","0.02978515625","1560","0.0005443025337809833","24","0.0005443025337809833","0","0.0005443025337809833","0.0005443025337809833","2:68;0:68","2:0.002099938005278662;0:0.021382465648034754","2:0.00174621052054183;0:0.00825409412362138","0.032470703125","Yes"
"2","270.19242386395257","183.48477657920523","0.0081787109375","0.010986328125","0.00537109375","1560","0.0002350746863853237","24","0.0002350746863853237","0","0.0002350746863853237","0.0002350746863853237","1:68;3:68","1:0.002099938005278662;3:0.0022061263255842567","1:0.00174621052054183;3:0.0014525317447542652","0.0081787109375","Yes"
"3","189.73223285147753","203.45599711564708","0.0390625","0.046875","0.03125","1560","0.00017588856273537397","24","0.00017588856273537397","0","0.00017588856273537397","0.00017588856273537397","16:68;2:68;4:68","16:0.002059534643291089;2:0.0022061263255842567;4:0.004562291713427757","16:0.0017268781306030156;2:0.0014525317447542652;4:0.002112370283404802","0.0390625","Yes"
"4","176.04691474586","138.44824190247473","0.0078125","0.01123046875","0.00439453125","1560","0.00020850470949161434","24","0.00020850470949161434","0","0.00020850470949161434","0.00020850470949161434","3:68;5:68","3:0.004562291713427757;5:0.0051827215531387305","3:0.002112370283404802;5:0.0024666561574888113","0.0078125","Yes"
"5","201.85483394722092","193.70314080014757","0.0697021484375","0.057373046875","0.08203125","1560","0.0001892552277520371","24","0.0001892552277520371","0","0.0001892552277520371","0.0001892552277520371","6:68;4:68","6:0.011489062788602594;4:0.0051827215531387305","6:0.0062958117720971485;4:0.0024666561574888113","0.0697021484375","Yes"
"6","191.8316727105572","177.7623868269574","0.0294189453125","0.022705078125","0.0361328125","1560","0.00021365006587526563","24","0.00021365006587526563","0","0.00021365006587526563","0.00021365006587526563","5:68;7:68","5:0.011489062788602594;7:0.00239652420212072","5:0.0062958117720971485;7:0.0029664685985521244","0.0294189453125","Yes"
"7","121.31173383998365","41.86420568908334","0.03271484375","0.037109375","0.0283203125","1560","0.001272462143472195","24","0.001272462143472195","0","0.001272462143472195","0.001272462143472195","17:68;6:68;8:68","17:0.0030747016598303423;6:0.00239652420212072;8:0.0029853078171165337","17:0.003341844684791817;6:0.0029664685985521244;8:0.0032738276784597953","0.03271484375","Yes"
"8","85.65120738539564","34.195490033138626","0.0067138671875","0.010498046875","0.0029296875","1560","0.00030189561411586596","24","0.00030189561411586596","0","0.00030189561411586596","0.00030189561411586596","9:68;7:68","9:0.0019722328064956107;7:0.0029853078171165337","9:0.0018841319965858805;7:0.0032738276784597953","0.0067138671875","Yes"
"9","319.38289837158266","24.432661091717318","0.0657958984375","0.050048828125","0.08154296875","1560","0.0002145830781701238","24","0.0002145830781701238","0","0.0002145830781701238","0.0002145830781701238","8:68;10:68","8:0.0019722328064956107;10:0.0013619510990956207","8:0.0018841319965858805;10:0.0016994844536834253","0.0657958984375","Yes"
