"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"0","303.84287615656274","322.3408064708401","0.0093994140625","0.0126953125","0.006103515625","2280","0.0002794367563469151","32","0.0002794367563469151","0","0.0002794367563469151","0.0002794367563469151","1:0.0011033572719825468","1:68","1:0.0009428718443344197","0.0093994140625","0.01513671875","Yes"
"1","350.161569103823","389.4469198926506","0.1099853515625","0.0732421875","0.146728515625","2280","0.00017772694165126896","32","0.00017772694165126896","0","0.00017772694165126896","0.00017772694165126896","2:0.0010818799954359914;0:0.0011033572719825468","2:68;0:68","2:0.0007621594199368475;0:0.0009428718443344197","0.1099853515625","0.11279296875","Yes"
"2","351.42832536357474","118.36121871707144","0.00732421875","0.0107421875","0.00390625","2280","0.0001319939979765828","32","0.0001319939979765828","0","0.0001319939979765828","0.0001319939979765828","1:0.0010818799954359914;3:0.0010654965815958262","1:68;3:68","1:0.0007621594199368475;3:0.0010964467024569269","0.00732421875","0.00830078125","Yes"
"3","325.4191064114922","330.55604929835715","0.008056640625","0.009765625","0.00634765625","2280","0.0003127446117134596","32","0.0003127446117134596","0","0.0003127446117134596","0.0003127446117134596","16:0.000988551579445912;2:0.0010654965815958262;4:0.002196924589090238","16:68;2:68;4:68","16:0.0013639246533179161;2:0.0010964467024569269;4:0.0020128330917487114","0.008056640625","0.005859375","Yes"
"4","251.299545496895","50.97688162481356","0.0098876953125","0.010498046875","0.00927734375","2280","0.0003379556709046514","32","0.0003379556709046514","0","0.0003379556709046514","0.0003379556709046514","3:0.002196924589090238;5:0.0032173994637865744","3:68;5:68","3:0.0020128330917487114;5:0.00296760327120138","0.0098876953125","0.016357421875","Yes"
"5","79.0583703725385","44.16017232623382","0.0069580078125","0.013427734375","0.00048828125","2280","0.000547130173424888","32","0.000547130173424888","0","0.000547130173424888","0.000547130173424888","6:0.0030077335571178643;4:0.0032173994637865744","6:68;4:68","6:0.0032741798043352532;4:0.00296760327120138","0.0069580078125","0.008544921875","Yes"
"6","225.27910166869364","88.80221647289349","0.011474609375","0.01123046875","0.01171875","2280","0.00023616392355321923","32","0.00023616392355321923","0","0.00023616392355321923","0.00023616392355321923","5:0.0030077335571178643;7:0.008701457074217489","5:68;7:80","5:0.0032741798043352532;7:0.009105375193528775","0.011474609375","0.008544921875","Yes"
"7","250.43623228214534","61.305728837782794","0.012939453125","0.015380859375","0.010498046875","2280","0.00042004231281705137","32","0.00042004231281705137","0","0.00042004231281705137","0.00042004231281705137","17:0.0061995057589775415;6:0.008701457074217489;8:0.007415816533631575","17:68;6:80;8:68","17:0.0043455979716798265;6:0.009105375193528775;8:0.006775286263033781","0.012939453125","0.012939453125","Yes"
"8","314.68046098696215","85.91149107401027","0.0032958984375","0.005615234375","0.0009765625","2280","0.0002949985784674541","32","0.0002949985784674541","0","0.0002949985784674541","0.0002949985784674541","9:0.0024010468352204106;7:0.007415816533631575","9:68;7:68","9:0.0017981752057809053;7:0.006775286263033781","0.0032958984375","0.003662109375","Yes"
"9","126.06215440384626","51.84087494305484","0.004638671875","0.0078125","0.00146484375","2280","0.0002763487622342421","32","0.0002763487622342421","0","0.0002763487622342421","0.0002763487622342421","8:0.0024010468352204106;10:0.0049895255304316655","8:68;10:68","8:0.0017981752057809053;10:0.0026904155974550037","0.004638671875","0.0068359375","Yes"
"10","310.10631777394724","17.768040262605165","0.0040283203125","0.001953125","0.000732421875","2280","0.00022310373060341603","32","0.00022310373060341603","0","0.00022310373060341603","0.00022310373060341603","9:0.0049895255304316655;11:0.001220079202581159","9:68;11:68","9:0.0026904155974550037;11:0.0013226924745083357","0.0040283203125","0.00439453125","Yes"
"11","249.77538073631752","90.10811513157279","0.009521484375","0.0087890625","0.01025390625","2280","0.00036837503660294376","32","0.00036837503660294376","0","0.00036837503660294376","0.00036837503660294376","18:0.001875403489463634;10:0.001220079202581159;12:0.0009680976690622511","18:68;10:68;12:68","18:0.0014480655278092391;10:0.0013226924745083357;12:0.0010259555931714792","0.009521484375","0.00634765625","Yes"
"12","312.72604534858976","274.48994346823696","0.0286865234375","0.03662109375","0.020751953125","2280","0.00018990519960081377","32","0.00018990519960081377","0","0.00018990519960081377","0.00018990519960081377","13:0.0015482686067115892;11:0.0009680976690622511","13:68;11:68","13:0.0013622629422107013;11:0.0010259555931714792","0.0286865234375","0.02197265625","Yes"
"13","243.52659863163498","384.4484092982577","0.0087890625","0.012939453125","0.004638671875","2280","0.00016147488499845323","32","0.00016147488499845323","0","0.00016147488499845323","0.00016147488499845323","12:0.0015482686067115892;14:0.001011941468196248","12:68;14:68","12:0.0013622629422107013;14:0.0010085026274611608","0.0087890625","0.005615234375","Yes"
"14","163.34397918560512","227.30878012961966","0.02294921875","0.02197265625","0.02392578125","2280","0.00019085120729218734","32","0.00019085120729218734","0","0.00019085120729218734","0.00019085120729218734","15:0.0015498170498065844;13:0.001011941468196248","15:68;13:68","15:0.001880175271304796;13:0.0010085026274611608","0.02294921875","0.05224609375","Yes"
"15","424.4952606364897","404.9367165795371","0.0047607421875","0.005126953125","0.00439453125","2280","0.00017762923224228823","32","0.00017762923224228823","0","0.00017762923224228823","0.00017762923224228823","14:0.0015498170498065844;19:0.0025844818242587164","14:68;19:68","14:0.001880175271304796;19:0.0019884366481073557","0.0047607421875","0.004638671875","Yes"
"16","341.37585248297944","215.66916161275716","0.03173828125","0.053466796875","0.010009765625","2280","0.00015228000323938304","32","0.00015228000323938304","0","0.00015228000323938304","0.00015228000323938304","23:0.0011881076903962062;3:0.000988551579445912","23:68;3:68","23:0.0010399648708651343;3:0.0013639246533179161","0.03173828125","0.023681640625","Yes"
"17","262.15941119848844","85.51420592060548","0.00439453125","0.005859375","0.0029296875","2280","0.0002910030618473777","32","0.0002910030618473777","0","0.0002910030618473777","0.0002910030618473777","7:0.0061995057589775415;27:0.0018888354380796613","7:68;27:68","7:0.0043455979716798265;27:0.0015708480791388757","0.00439453125","0.003173828125","Yes"
"18","127.6079308294736","95.31491915339123","0.0137939453125","0.02587890625","0.001708984375","2280","0.0005739514894767775","32","0.0005739514894767775","0","0.0005739514894767775","0.0005739514894767775","11:0.001875403489463634;31:0.0023918938668958944","11:68;31:68","11:0.0014480655278092391;31:0.0021463218493509573","0.0137939453125","0.003173828125","Yes"
"19","220.06115717867067","187.70635010004528","0.0142822265625","0.014404296875","0.01416015625","2280","0.0002038778058309857","32","0.0002038778058309857","0","0.0002038778058309857","0.0002038778058309857","35:0.002415666293691804;15:0.0025844818242587164","35:68;15:68","35:0.0015938603278784491;15:0.0019884366481073557","0.0142822265625","0.007568359375","Yes"
"20","370.4305853308244","26.118186583093394","0.00537109375","0.0087890625","0.001953125","2280","0.000291123478855729","32","0.000291123478855729","0","0.000291123478855729","0.000291123478855729","21:0.0015238385444043823","21:68","21:0.0016789692454874383","0.00537109375","0.006103515625","Yes"
"21","252.7295654597099","330.9280120146434","0.0040283203125","0.00634765625","0.001708984375","2280","0.00013577298354402076","32","0.00013577298354402076","0","0.00013577298354402076","0.00013577298354402076","36:0.0013274073942642073;20:0.0015238385444043823;22:0.00110926983521073","36:68;20:68;22:68","36:0.0013055834292755308;20:0.0016789692454874383;22:0.0014005457793349885","0.0040283203125","0.00146484375","Yes"
"22","277.5934887645941","113.25023219830402","0.0218505859375","0.01953125","0.024169921875","2280","0.0001931818023483683","32","0.0001931818023483683","0","0.0001931818023483683","0.0001931818023483683","23:0.0012139344594594148;21:0.00110926983521073","23:68;21:68","23:0.0011945802619919843;21:0.0014005457793349885","0.0218505859375","0.024169921875","Yes"
"23","240.2453920596616","61.08622455574717","0.004638671875","0.003662109375","0.005615234375","2280","0.0001354681240449622","32","0.0001354681240449622","0","0.0001354681240449622","0.0001354681240449622","22:0.0012139344594594148;24:0.0015932680216590445;16:0.0011881076903962062","22:68;24:68;16:68","22:0.0011945802619919843;24:0.001477739149649937;16:0.0010399648708651343","0.004638671875","0.00439453125","Yes"
"24","289.7326819527532","54.39978460098459","0.0223388671875","0.021728515625","0.02294921875","2280","0.0002729865890241495","32","0.0002729865890241495","0","0.0002729865890241495","0.0002729865890241495","23:0.0015932680216590445;25:0.0021134989486194244","23:68;25:68","23:0.001477739149649937;25:0.002142633266196292","0.0223388671875","0.0283203125","Yes"
"25","345.5335169972215","20.750954856312077","0.0037841796875","0.00537109375","0.002197265625","2280","0.000469141305374528","32","0.000469141305374528","0","0.000469141305374528","0.000469141305374528","24:0.0021134989486194244;26:0.00167802644115983;37:0.002074466956477783","24:68;26:68;37:68","24:0.002142633266196292;26:0.001769177708730696;37:0.0021591558358441676","0.0037841796875","0.00390625","Yes"
"26","278.4791910172299","113.4821085578289","0.011962890625","0.01416015625","0.009765625","2280","0.0002734799862642483","32","0.0002734799862642483","0","0.0002734799862642483","0.0002734799862642483","25:0.00167802644115983;27:0.0017836844497773618","25:68;27:68","25:0.001769177708730696;27:0.0015030717886636014","0.011962890625","0.01611328125","Yes"
"27","273.11142780613324","57.28697253432221","0.008056640625","0.01123046875","0.004638671875","2280","0.0002141023144384389","32","0.0002141023144384389","0","0.0002141023144384389","0.0002141023144384389","26:0.0017836844497773618;28:0.0011987847294993026;17:0.0018888354380796613","26:68;28:68;17:68","26:0.0015030717886636014;28:0.0012683005334129527;17:0.0015708480791388757","0.008056640625","0.02001953125","Yes"
"28","298.29167836579995","279.048072066924","0.0101318359375","0.01708984375","0.003173828125","2280","0.00025782376494768377","32","0.00025782376494768377","0","0.00025782376494768377","0.00025782376494768377","27:0.0011987847294993026;29:0.0026444330904527025","27:68;29:68","27:0.0012683005334129527;29:0.0018714774193896722","0.0101318359375","0.005126953125","Yes"
"29","182.0201059888314","81.20705741673106","0.0059814453125","0.0068359375","0.005126953125","2280","0.00019380930290882446","32","0.00019380930290882446","0","0.00019380930290882446","0.00019380930290882446","38:0.012629865319579825;28:0.0026444330904527025;30:0.0013457391019686127","38:68;28:68;30:80","38:0.004470517850089867;28:0.0018714774193896722;30:0.0015340693775273972","0.0059814453125","0.0126953125","Yes"
"30","232.59769117741763","49.012618638965456","0.010498046875","0.01220703125","0.0087890625","2280","0.00018829076926364443","32","0.00018829076926364443","0","0.00018829076926364443","0.00018829076926364443","31:0.0016684547849784293;29:0.0013457391019686127","31:68;29:80","31:0.0015580277103830198;29:0.0015340693775273972","0.010498046875","0.00732421875","Yes"
"31","266.7887828487352","302.63591110391735","0.03515625","0.0283203125","0.0419921875","2280","0.00015386435660137116","32","0.00015386435660137116","0","0.00015386435660137116","0.00015386435660137116","30:0.0016684547849784293;32:0.0019526054664782688;18:0.0023918938668958944","30:68;32:68;18:68","30:0.0015580277103830198;32:0.0022366606033046854;18:0.0021463218493509573","0.03515625","0.099609375","Yes"
