"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"0","324.5183072238229","37.28775742452369","0.004638671875","0.0068359375","0.00244140625","2584","0.0002849871476434779","36","0.0002849871476434779","0","0.0002849871476434779","0.0002849871476434779","1:0.0026255061741269903","1:68","1:0.0019492507253805191","0.004638671875","Yes"
"1","196.86213044337754","144.9391423079984","0.0054931640625","0.006103515625","0.0048828125","2584","0.0001488760150554133","36","0.0001488760150554133","0","0.0001488760150554133","0.0001488760150554133","2:0.0009945349797279845;0:0.0026255061741269903","2:68;0:68","2:0.001256919291256653;0:0.0019492507253805191","0.0054931640625","Yes"
"2","342.94798814519197","193.84204619961875","0.0068359375","0.00830078125","0.00537109375","2584","0.00019431549844231577","36","0.00019431549844231577","0","0.00019431549844231577","0.00019431549844231577","1:0.0009945349797279845;3:0.0019394541877437443","1:68;3:68","1:0.001256919291256653;3:0.0030546846172926634","0.0068359375","Yes"
"3","299.18643914289066","238.19264602247551","0.0062255859375","0.008544921875","0.00390625","2584","0.0003942383450748723","36","0.0003942383450748723","0","0.0003942383450748723","0.0003942383450748723","16:0.002395412321170992;2:0.0019394541877437443;4:0.0022327100737624395","16:68;2:68;4:80","16:0.004575604497328356;2:0.0030546846172926634;4:0.00501679030705407","0.0062255859375","Yes"
"4","190.889847216536","227.25288992865507","0.0045166015625","0.007568359375","0.00146484375","2584","0.0003055199075142326","36","0.0003055199075142326","0","0.0003055199075142326","0.0003055199075142326","3:0.0022327100737624395;5:0.006197460367836499","3:80;5:68","3:0.00501679030705407;5:0.0067183723601031975","0.0045166015625","Yes"
"5","278.07644583199504","191.3358349473141","0.005126953125","0.008056640625","0.002197265625","2584","0.0002911011661339365","36","0.0002911011661339365","0","0.0002911011661339365","0.0002911011661339365","6:0.0038444527070732315;4:0.006197460367836499","6:68;4:68","6:0.004718787637918553;4:0.0067183723601031975","0.005126953125","Yes"
"6","256.1591172378523","244.32209422992594","0.00439453125","0.005859375","0.0029296875","2584","0.00018171323153376825","36","0.00018171323153376825","0","0.00018171323153376825","0.00018171323153376825","5:0.0038444527070732315;7:0.0010982155596355736","5:68;7:68","5:0.004718787637918553;7:0.002984569613065563","0.00439453125","Yes"
"7","192.3685831521008","125.02025127081706","0.0087890625","0.010986328125","0.006591796875","2584","0.00014462012581648118","36","0.00014462012581648118","0","0.00014462012581648118","0.00014462012581648118","17:0.0022544291099845237;6:0.0010982155596355736;8:0.0017265147597834152","17:68;6:68;8:80","17:0.0016653152419907613;6:0.002984569613065563;8:0.0031629675121814527","0.0087890625","Yes"
"8","208.23003368222118","111.90427301581155","0.0052490234375","0.007080078125","0.00341796875","2584","0.00020373794991979585","36","0.00020373794991979585","0","0.00020373794991979585","0.00020373794991979585","9:0.002073277329410511;7:0.0017265147597834152","9:68;7:80","9:0.002804514131914543;7:0.0031629675121814527","0.0052490234375","Yes"
"9","216.87657767349862","305.4142971243103","0.430908203125","0.046630859375","0.815185546875","2584","0.0001122868969868373","36","0.0001122868969868373","0","0.0001122868969868373","0.0001122868969868373","8:0.002073277329410511;10:0.001386034887465304","8:68;10:68","8:0.002804514131914543;10:0.0013692323789693261","0.430908203125","Yes"
"10","268.4209833065102","224.38601494773232","0.0118408203125","0.013671875","0.00390625","2584","0.00020562823111793806","36","0.00020562823111793806","0","0.00020562823111793806","0.00020562823111793806","9:0.001386034887465304;11:0.002969517859616355","9:68;11:68","9:0.0013692323789693261;11:0.002502786294452719","0.0118408203125","Yes"
"11","308.4289333579144","242.6574651775583","0.01318359375","0.012451171875","0.013916015625","2584","0.000222951094647909","36","0.000222951094647909","0","0.000222951094647909","0.000222951094647909","18:0.0022270834502200187;10:0.002969517859616355;12:0.002098971756288842","18:68;10:68;12:68","18:0.001650146326556523;10:0.002502786294452719;12:0.001286322837491638","0.01318359375","Yes"
"12","164.90017323528278","62.354729993970594","0.0050048828125","0.005859375","0.004150390625","2584","0.0003271348889430383","36","0.0003271348889430383","0","0.0003271348889430383","0.0003271348889430383","13:0.0018353491205069516;11:0.002098971756288842","13:80;11:68","13:0.0011384408439250593;11:0.001286322837491638","0.0050048828125","Yes"
"13","204.32354551056213","165.09704274186032","0.023681640625","0.045166015625","0.002197265625","2584","0.0002633376810468999","36","0.0002633376810468999","0","0.0002633376810468999","0.0002633376810468999","12:0.0018353491205069516;14:0.0017674164092981448","12:80;14:80","12:0.0011384408439250593;14:0.0016289635567043326","0.023681640625","Yes"
